################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.6378041173162276E-03 a         1     0     1     1     1
 -1.0030863801278694E-01 a         2     0     1     1     2
 -1.8609187197904811E-01 a         3     0     1     1     3
  2.3946657514941131E-02 a         4     0     1     1     4
  1.9146309690491967E-01 a         5     0     1     1     5
  5.4820930634608696E-02 a         6     0     1     1     6
  6.4167716314616138E-02 a         7     0     1     1     7
  1.5320056090564491E-01 a         8     0     1     1     8
 -1.0442522502613477E-01 a         9     0     1     1     9
  2.4936582923043649E-01 a        10     0     1     1    10
 -1.5069083559976768E-01 a        11     0     1     1    11
  3.2928742461012005E-03 a        12     0     1     1    12
 -1.7143419664092693E-01 a        13     0     1     1    13
 -1.3591274671777553E-01 a        14     0     1     1    14
  1.3340685358939955E-01 a        15     0     1     1    15
 -1.1112045155550603E-01 a        16     0     1     1    16
  1.2925989691653303E-01 a        17     0     1     1    17
 -3.7943975043717965E-02 a        18     0     1     1    18
  5.0900317110124597E-02 a        19     0     1     1    19
 -3.0886610565747867E-02 a        20     0     1     1    20
  8.8980145309154782E-02 a        21     0     2     1     1
 -5.2391537004360486E-02 a        22     0     2     1     2
 -2.0628399123498004E-01 a        23     0     2     1     3
  2.5757162045993426E-01 a        24     0     2     1     4
  4.3517708867221137E-02 a        25     0     2     1     5
  2.1016681004203480E-02 a        26     0     2     1     6
 -2.0369524305999535E-02 a        27     0     2     1     7
  1.2385648848699274E-01 a        28     0     2     1     8
 -2.0450917851271781E-02 a        29     0     2     1     9
  1.1949091496439279E-01 a        30     0     2     1    10
 -1.0163125041233498E-01 a        31     0     2     1    11
 -2.8558553033029876E-01 a        32     0     2     1    12
  2.7769336225645058E-01 a        33     0     2     1    13
  1.1348425536076927E-01 a        34     0     2     1    14
  5.0508043393027537E-02 a        35     0     2     1    15
 -1.2721736632517058E-01 a        36     0     2     1    16
 -1.6287807874175628E-01 a        37     0     2     1    17
  1.9382055579717783E-02 a        38     0     2     1    18
  1.3621657317788852E-01 a        39     0     2     1    19
 -1.7225725960237820E-01 a        40     0     2     1    20
  1.5966964068203907E-01 a        41     0     3     1     1
 -2.0322331019587819E-01 a        42     0     3     1     2
 -3.2168913219556033E-02 a        43     0     3     1     3
 -2.0608448564639315E-01 a        44     0     3     1     4
 -3.0896290728619269E-01 a        45     0     3     1     5
  2.9162631233249608E-01 a        46     0     3     1     6
 -8.0712349826654844E-02 a        47     0     3     1     7
 -8.1805990560578773E-02 a        48     0     3     1     8
 -1.5418317124356107E-01 a        49     0     3     1     9
 -8.9306330951832033E-02 a        50     0     3     1    10
  4.1588173323343861E-03 a        51     0     3     1    11
  2.0041523120136288E-02 a        52     0     3     1    12
 -1.3724585396462466E-01 a        53     0     3     1    13
  1.6044920190725501E-01 a        54     0     3     1    14
 -1.6541997402070485E-01 a        55     0     3     1    15
  8.7378060901065563E-02 a        56     0     3     1    16
 -1.5582525652994225E-01 a        57     0     3     1    17
 -2.0582233089157048E-01 a        58     0     3     1    18
  1.7405198732346493E-02 a        59     0     3     1    19
  7.6259665825070128E-02 a        60     0     3     1    20
  5.5519016804908428E-01 a        61     0     4     1     1
 -2.6026567614268697E-01 a        62     0     4     1     2
 -2.3282550459617868E-01 a        63     0     4     1     3
 -4.6690003615921438E-01 a        64     0     4     1     4
 -3.8106820570551543E-02 a        65     0     4     1     5
 -4.1212196885435892E-01 a        66     0     4     1     6
 -4.0435149080140176E-02 a        67     0     4     1     7
  1.8255945721214051E-01 a        68     0     4     1     8
 -7.9889713384196731E-02 a        69     0     4     1     9
  4.8041341314864383E-01 a        70     0     4     1    10
  7.8431808174781584E-02 a        71     0     4     1    11
  1.5529599517298424E-02 a        72     0     4     1    12
  1.9981775414070094E-01 a        73     0     4     1    13
  2.8436532248791835E-02 a        74     0     4     1    14
 -2.2046087248736074E-01 a        75     0     4     1    15
 -4.6510650547359089E-02 a        76     0     4     1    16
 -2.9203300983746455E-01 a        77     0     4     1    17
 -4.8037313993733849E-01 a        78     0     4     1    18
 -1.8381339672455835E-01 a        79     0     4     1    19
  2.5876570102492824E-01 a        80     0     4     1    20
 -1.6963917637498840E-01 a        81     0     5     1     1
 -3.7171963753112319E-01 a        82     0     5     1     2
  2.5208565637332064E-01 a        83     0     5     1     3
 -2.2365628633287632E-01 a        84     0     5     1     4
 -8.1959524906150188E-02 a        85     0     5     1     5
  3.8186220579615252E-02 a        86     0     5     1     6
 -1.6619113019544110E-01 a        87     0     5     1     7
 -4.8354391432332562E-02 a        88     0     5     1     8
  6.0499123852163578E-02 a        89     0     5     1     9
 -1.2311779390200654E-01 a        90     0     5     1    10
  2.1136548581857964E-01 a        91     0     5     1    11
  1.1288552514917059E-01 a        92     0     5     1    12
 -6.9150442519317776E-02 a        93     0     5     1    13
  9.0551341303554855E-02 a        94     0     5     1    14
 -7.5080709441196047E-02 a        95     0     5     1    15
  8.4227649867249940E-02 a        96     0     5     1    16
 -2.3546763011925645E-01 a        97     0     5     1    17
 -5.5385149764225795E-02 a        98     0     5     1    18
  1.3656747097120400E-01 a        99     0     5     1    19
  9.0961423395138560E-02 a       100     0     5     1    20
  5.0020663981081188E-02 a       101     0     6     1     1
  1.3441327973867948E-01 a       102     0     6     1     2
  2.2978742306289654E-01 a       103     0     6     1     3
 -1.6097699814856092E-01 a       104     0     6     1     4
 -3.4527583596877737E-01 a       105     0     6     1     5
  3.6439767323239003E-01 a       106     0     6     1     6
 -1.9602757937249587E-01 a       107     0     6     1     7
 -2.6787205214738280E-01 a       108     0     6     1     8
 -7.1298739163594319E-02 a       109     0     6     1     9
 -2.4281163111365381E-01 a       110     0     6     1    10
 -2.4183323400300996E-01 a       111     0     6     1    11
 -2.5996139452598305E-01 a       112     0     6     1    12
  5.7561550139196265E-03 a       113     0     6     1    13
  1.0566206659772287E-01 a       114     0     6     1    14
  1.9515883984413684E-01 a       115     0     6     1    15
 -6.9187457613389916E-02 a       116     0     6     1    16
 -4.1716562716789113E-02 a       117     0     6     1    17
 -4.9507713522886916E-02 a       118     0     6     1    18
 -1.5629951190898356E-01 a       119     0     6     1    19
 -1.0252592018572904E-01 a       120     0     6     1    20
  8.2056448695416354E-02 a       121     0     7     1     1
  1.1379221035053723E-01 a       122     0     7     1     2
  2.2500546445600952E-01 a       123     0     7     1     3
  2.5417019764828047E-01 a       124     0     7     1     4
  1.6672399044455447E-01 a       125     0     7     1     5
 -2.4273615892654926E-01 a       126     0     7     1     6
 -2.7261063013176878E-01 a       127     0     7     1     7
  2.4102750268467482E-01 a       128     0     7     1     8
 -6.7728958171338949E-02 a       129     0     7     1     9
 -2.4911065838885402E-01 a       130     0     7     1    10
  2.6812316491221350E-01 a       131     0     7     1    11
 -3.9115009977196691E-02 a       132     0     7     1    12
 -3.4678322781257925E-01 a       133     0     7     1    13
 -1.0119830495906418E-01 a       134     0     7     1    14
 -9.4435925362905501E-02 a       135     0     7     1    15
 -3.6600541091035199E-01 a       136     0     7     1    16
  2.0028151220001689E-01 a       137     0     7     1    17
  3.2408474062159420E-01 a       138     0     7     1    18
 -3.0578303703558272E-02 a       139     0     7     1    19
 -9.2990163039165796E-03 a       140     0     7     1    20
  4.2759713181324838E-03 a       141     0     8     1     1
 -8.2934244249220301E-02 a       142     0     8     1     2
 -2.2444710660750944E-01 a       143     0     8     1     3
  5.3727009107364954E-01 a       144     0     8     1     4
  2.2906450575371359E-01 a       145     0     8     1     5
  2.8379915590765820E-01 a       146     0     8     1     6
  1.3220919382884508E-01 a       147     0     8     1     7
 -4.1716592492640170E-01 a       148     0     8     1     8
 -2.2872380553288128E-02 a       149     0     8     1     9
  1.1390413131288908E-01 a       150     0     8     1    10
 -2.9702618581672163E-01 a       151     0     8     1    11
 -5.5329058904084261E-01 a       152     0     8     1    12
 -3.8688802528022065E-01 a       153     0     8     1    13
  4.7317775117341192E-02 a       154     0     8     1    14
  5.3178530183632322E-01 a       155     0     8     1    15
 -1.0234702017761056E-01 a       156     0     8     1    16
  1.4841820425214564E-01 a       157     0     8     1    17
  7.6082279912883544E-01 a       158     0     8     1    18
  1.5494059740900862E-01 a       159     0     8     1    19
 -2.0175541617597900E-01 a       160     0     8     1    20
  1.7213559875366938E-01 a       161     0     9     1     1
 -2.8449008867795184E-02 a       162     0     9     1     2
 -9.0610765590836279E-02 a       163     0     9     1     3
 -7.6043164054198906E-02 a       164     0     9     1     4
 -1.1801289393001528E-01 a       165     0     9     1     5
  9.4022952349497965E-02 a       166     0     9     1     6
 -1.3681838584898371E-04 a       167     0     9     1     7
 -1.6625520510276665E-01 a       168     0     9     1     8
 -2.5221606534428960E-02 a       169     0     9     1     9
  1.9929150954339825E-01 a       170     0     9     1    10
  7.7313850991155893E-03 a       171     0     9     1    11
 -1.8507542775514649E-01 a       172     0     9     1    12
  1.0777753237550125E-01 a       173     0     9     1    13
 -1.0825926636132822E-01 a       174     0     9     1    14
 -2.1865283326331930E-01 a       175     0     9     1    15
  4.9313442776762979E-02 a       176     0     9     1    16
 -2.4001505899561312E-01 a       177     0     9     1    17
 -1.2214297193954097E-02 a       178     0     9     1    18
  2.8310562642741244E-01 a       179     0     9     1    19
 -9.8065847172299755E-02 a       180     0     9     1    20
 -1.8720253216303614E-01 a       181     0    10     1     1
 -6.0543125892058271E-02 a       182     0    10     1     2
 -5.9095524522780225E-02 a       183     0    10     1     3
  2.8315503752940901E-01 a       184     0    10     1     4
  9.7854572930310885E-02 a       185     0    10     1     5
 -7.0253523683271410E-02 a       186     0    10     1     6
 -1.2182970367890547E-01 a       187     0    10     1     7
 -1.4723962043692541E-02 a       188     0    10     1     8
  1.8118663415835229E-01 a       189     0    10     1     9
 -3.6177049573324332E-01 a       190     0    10     1    10
 -2.3103139972126055E-01 a       191     0    10     1    11
  1.8118371804815048E-01 a       192     0    10     1    12
 -1.3815958581249874E-01 a       193     0    10     1    13
 -1.6017138080878093E-01 a       194     0    10     1    14
 -2.1628847414565919E-01 a       195     0    10     1    15
  4.8712420174740902E-02 a       196     0    10     1    16
  1.5476340650619883E-01 a       197     0    10     1    17
 -1.2993140370220296E-01 a       198     0    10     1    18
  5.7898726758426550E-03 a       199     0    10     1    19
 -2.2148113103520849E-02 a       200     0    10     1    20
 -1.0728101371826518E-01 a       201     0    11     1     1
  1.9451887944135646E-02 a       202     0    11     1     2
  1.6179475247013540E-02 a       203     0    11     1     3
  1.3225123089015259E-01 a       204     0    11     1     4
 -7.9204174533523727E-02 a       205     0    11     1     5
  1.1337081559551712E-01 a       206     0    11     1     6
 -2.6347880724733586E-01 a       207     0    11     1     7
 -4.4589087334845656E-01 a       208     0    11     1     8
 -1.9726451138893655E-01 a       209     0    11     1     9
  1.3352181642418495E-01 a       210     0    11     1    10
 -1.1883505447644198E-01 a       211     0    11     1    11
  5.0253783777843153E-01 a       212     0    11     1    12
  2.3891432723896927E-01 a       213     0    11     1    13
 -4.8272492837326425E-01 a       214     0    11     1    14
  1.0463296034366849E-01 a       215     0    11     1    15
  3.9898854292709673E-01 a       216     0    11     1    16
  1.3261238448237195E-01 a       217     0    11     1    17
 -3.3777813737585684E-02 a       218     0    11     1    18
 -2.3972354111629665E-01 a       219     0    11     1    19
  1.5297813615211858E-01 a       220     0    11     1    20
 -5.1818770809369130E-01 a       221     0    12     1     1
  2.0762050401447182E-01 a       222     0    12     1     2
 -6.7148822851737372E-02 a       223     0    12     1     3
  2.8094457232691183E-01 a       224     0    12     1     4
 -2.3694070135384621E-01 a       225     0    12     1     5
 -1.1971819120193436E-01 a       226     0    12     1     6
  2.4196974045558053E-02 a       227     0    12     1     7
 -6.8119914617986263E-02 a       228     0    12     1     8
 -3.1464598561680247E-02 a       229     0    12     1     9
 -2.1398685803183928E-01 a       230     0    12     1    10
 -5.4348425084861610E-02 a       231     0    12     1    11
 -1.4040847992179900E-01 a       232     0    12     1    12
  2.4521268998962081E-01 a       233     0    12     1    13
 -2.8248434177610637E-01 a       234     0    12     1    14
 -6.9925067255681886E-02 a       235     0    12     1    15
 -2.0014810064389088E-01 a       236     0    12     1    16
  2.9577249647221704E-01 a       237     0    12     1    17
  4.9404702658518701E-01 a       238     0    12     1    18
  1.5686717169608794E-01 a       239     0    12     1    19
 -3.1863863737020443E-01 a       240     0    12     1    20
 -8.5142206920795369E-02 a       241     0    13     1     1
 -3.6024525642611460E-01 a       242     0    13     1     2
  2.5889310281711586E-01 a       243     0    13     1     3
  2.1314423976342545E-01 a       244     0    13     1     4
  5.6448535866166369E-02 a       245     0    13     1     5
  2.4566596660129580E-01 a       246     0    13     1     6
 -3.2097411142456644E-01 a       247     0    13     1     7
  2.0458044692420038E-01 a       248     0    13     1     8
 -2.0653648373127009E-01 a       249     0    13     1     9
 -1.2357602731407061E-01 a       250     0    13     1    10
 -6.8462910224069917E-02 a       251     0    13     1    11
 -2.3339244289655639E-01 a       252     0    13     1    12
 -1.4353064787328157E-01 a       253     0    13     1    13
  1.5874613323053854E-01 a       254     0    13     1    14
  3.6422694042126523E-02 a       255     0    13     1    15
 -1.9438280151598493E-02 a       256     0    13     1    16
  1.7348367630179784E-01 a       257     0    13     1    17
  5.3105498170438026E-02 a       258     0    13     1    18
 -1.0005849232577861E-01 a       259     0    13     1    19
 -1.0128011553300426E-01 a       260     0    13     1    20
 -7.3817490680162620E-02 a       261     0    14     1     1
 -4.6005330204052709E-02 a       262     0    14     1     2
  4.7082123743125807E-02 a       263     0    14     1     3
 -2.0671273881179109E-01 a       264     0    14     1     4
  9.2363820552273393E-02 a       265     0    14     1     5
 -1.4104598695478724E-02 a       266     0    14     1     6
 -7.5636241970775744E-02 a       267     0    14     1     7
  3.1056661378597533E-01 a       268     0    14     1     8
  2.0596166057129020E-01 a       269     0    14     1     9
 -8.4246438263544776E-02 a       270     0    14     1    10
  2.5531326996824683E-01 a       271     0    14     1    11
  2.6862876511954598E-02 a       272     0    14     1    12
  4.8622154916974844E-02 a       273     0    14     1    13
 -2.1005532394164639E-01 a       274     0    14     1    14
  1.9184446256049714E-01 a       275     0    14     1    15
  2.2525178633943055E-01 a       276     0    14     1    16
 -3.1751507239151083E-01 a       277     0    14     1    17
  1.7192722025692569E-01 a       278     0    14     1    18
 -2.1017705609194015E-01 a       279     0    14     1    19
  1.8306983374936506E-01 a       280     0    14     1    20
  1.7987546309242586E-01 a       281     0    15     1     1
 -2.0179849917949522E-01 a       282     0    15     1     2
  6.4403176685497415E-02 a       283     0    15     1     3
 -2.3793750305642924E-01 a       284     0    15     1     4
  3.3659881412444075E-02 a       285     0    15     1     5
  1.1224758051430778E-01 a       286     0    15     1     6
 -3.9497905375668374E-01 a       287     0    15     1     7
  1.0705541961513951E-02 a       288     0    15     1     8
  2.9489495569960628E-01 a       289     0    15     1     9
  4.7449009679184112E-02 a       290     0    15     1    10
 -6.6630807744796048E-04 a       291     0    15     1    11
  5.7806871334252619E-01 a       292     0    15     1    12
 -9.5360859300296752E-02 a       293     0    15     1    13
  1.3861606466527876E-01 a       294     0    15     1    14
 -6.7499744250907712E-02 a       295     0    15     1    15
 -3.7175096256259549E-01 a       296     0    15     1    16
