################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1234294914724834E-01 a         1     0     1     1     1
  1.1902020679454457E-01 a         2     0     1     1     2
 -3.8817501655714681E-02 a         3     0     1     1     3
 -1.7233984019963569E-01 a         4     0     1     1     4
 -3.5533573332766544E-01 a         5     0     1     1     5
  5.2633410075207632E-01 a         6     0     1     1     6
 -1.5126646775759414E-01 a         7     0     1     1     7
 -1.3277650804429067E-01 a         8     0     1     1     8
  2.0656446002261256E-01 a         9     0     1     1     9
  7.1415133792904718E-03 a        10     0     1     1    10
  1.5242130611133803E-01 a        11     0     1     1    11
  3.0615182191692770E-02 a        12     0     1     1    12
  1.7220897319750372E-01 a        13     0     1     1    13
  3.5853255928839439E-01 a        14     0     1     1    14
  1.8100542217630056E-01 a        15     0     1     1    15
  2.7566032773503985E-01 a        16     0     1     1    16
 -1.2625211212926224E-01 a        17     0     1     1    17
  2.3273954653976772E-02 a        18     0     1     1    18
 -1.4537906590779368E-02 a        19     0     1     1    19
  1.4647100144741998E-01 a        20     0     1     1    20
  7.5779775809286729E-02 a        21     0     2     1     1
  5.5898877118483244E-02 a        22     0     2     1     2
  6.3371948134618133E-02 a        23     0     2     1     3
 -5.3228917822175925E-02 a        24     0     2     1     4
  2.4665275523596289E-01 a        25     0     2     1     5
  1.0255037705092455E-01 a        26     0     2     1     6
 -1.6803602497333439E-01 a        27     0     2     1     7
  3.2272978646185585E-01 a        28     0     2     1     8
 -1.5408064134110989E-02 a        29     0     2     1     9
  7.7542317508902420E-02 a        30     0     2     1    10
 -1.3798003227214159E-01 a        31     0     2     1    11
 -7.8291906011780071E-02 a        32     0     2     1    12
  2.8697422588248173E-03 a        33     0     2     1    13
  5.8376350400984938E-03 a        34     0     2     1    14
  1.3027221782168447E-01 a        35     0     2     1    15
 -5.3737860118690500E-02 a        36     0     2     1    16
  1.2751351808715436E-01 a        37     0     2     1    17
  2.1999504378812534E-01 a        38     0     2     1    18
 -2.4712008166133670E-01 a        39     0     2     1    19
  1.7389333668187457E-01 a        40     0     2     1    20
 -1.5468461809770325E-02 a        41     0     3     1     1
  2.2985123374354519E-01 a        42     0     3     1     2
  3.5349353684072347E-02 a        43     0     3     1     3
 -3.3504132574780708E-02 a        44     0     3     1     4
 -1.6756050552736797E-03 a        45     0     3     1     5
 -1.0300456024128742E-01 a        46     0     3     1     6
 -6.6949357797165210E-02 a        47     0     3     1     7
 -6.0721696076232852E-02 a        48     0     3     1     8
 -1.0972381110048277E-01 a        49     0     3     1     9
 -1.6464030611743383E-01 a        50     0     3     1    10
  1.2582688278209861E-01 a        51     0     3     1    11
  1.5202384353586332E-01 a        52     0     3     1    12
 -1.6010095971469986E-02 a        53     0     3     1    13
  2.4270813791906604E-01 a        54     0     3     1    14
 -7.5700917366747222E-02 a        55     0     3     1    15
 -2.6455303267705448E-02 a        56     0     3     1    16
 -1.0461545132075031E-01 a        57     0     3     1    17
 -1.4826162003978760E-03 a        58     0     3     1    18
  5.2594531288277506E-02 a        59     0     3     1    19
  3.9618603611459288E-02 a        60     0     3     1    20
 -5.7691077324966908E-02 a        61     0     4     1     1
 -2.5229643388888012E-02 a        62     0     4     1     2
 -1.5885804502875112E-01 a        63     0     4     1     3
  5.9049761264912159E-01 a        64     0     4     1     4
 -2.9041936014018166E-01 a        65     0     4     1     5
 -2.0255068840099880E-01 a        66     0     4     1     6
  1.4442319911830884E-01 a        67     0     4     1     7
  1.9353809121277415E-01 a        68     0     4     1     8
 -1.2032400071818872E-01 a        69     0     4     1     9
  2.1273446805643978E-01 a        70     0     4     1    10
 -8.0254404102777066E-01 a        71     0     4     1    11
  5.0363915483562982E-01 a        72     0     4     1    12
 -2.1234315230176784E-01 a        73     0     4     1    13
  1.0673592846652150E-01 a        74     0     4     1    14
  7.7200262343987991E-01 a        75     0     4     1    15
 -6.3891519775874905E-01 a        76     0     4     1    16
 -7.5939988650000873E-02 a        77     0     4     1    17
  8.0612416934521772E-02 a        78     0     4     1    18
 -2.2368535614437357E-01 a        79     0     4     1    19
  5.6738737952517426E-01 a        80     0     4     1    20
  2.1490861947160517E-01 a        81     0     5     1     1
  1.4967911817278526E-01 a        82     0     5     1     2
  2.3392883554950450E-01 a        83     0     5     1     3
  1.1836994601841262E-01 a        84     0     5     1     4
  1.2022610036323496E-01 a        85     0     5     1     5
 -5.2705981289697623E-01 a        86     0     5     1     6
  3.7782859816129782E-01 a        87     0     5     1     7
  2.2366258223705660E-01 a        88     0     5     1     8
 -3.3420923997867213E-01 a        89     0     5     1     9
 -3.3799637793340759E-01 a        90     0     5     1    10
 -1.8939166086431597E-01 a        91     0     5     1    11
 -1.5534376162061789E-01 a        92     0     5     1    12
  2.0357713437821048E-01 a        93     0     5     1    13
 -1.4406443575339675E-01 a        94     0     5     1    14
 -1.4328581055705983E-01 a        95     0     5     1    15
  3.6718581077987318E-02 a        96     0     5     1    16
  3.0665892654279736E-01 a        97     0     5     1    17
  5.7091469339055109E-02 a        98     0     5     1    18
 -4.5975841575372461E-02 a        99     0     5     1    19
 -1.4939255226925149E-01 a       100     0     5     1    20
 -2.7100792103304717E-02 a       101     0     6     1     1
  1.9302559629354965E-01 a       102     0     6     1     2
 -2.0357719482577610E-01 a       103     0     6     1     3
  7.4137141395539341E-02 a       104     0     6     1     4
 -7.0269940481036547E-02 a       105     0     6     1     5
  1.4936666489749803E-01 a       106     0     6     1     6
  2.0689137827564033E-01 a       107     0     6     1     7
 -1.7609739364339147E-01 a       108     0     6     1     8
  2.4756006518414572E-01 a       109     0     6     1     9
  3.3572068615388785E-02 a       110     0     6     1    10
 -2.1498116560106785E-02 a       111     0     6     1    11
 -8.8691927642828780E-02 a       112     0     6     1    12
  1.7700557034649209E-01 a       113     0     6     1    13
 -2.2000512934136332E-01 a       114     0     6     1    14
 -3.1922813585994003E-01 a       115     0     6     1    15
 -1.7534056456075675E-01 a       116     0     6     1    16
  2.1867685329630085E-01 a       117     0     6     1    17
  3.9942856296220471E-02 a       118     0     6     1    18
  1.8678650450617790E-01 a       119     0     6     1    19
 -1.6818409401249160E-01 a       120     0     6     1    20
  6.7774647924808112E-02 a       121     0     7     1     1
 -1.4961758253863866E-01 a       122     0     7     1     2
  2.2054458190459011E-01 a       123     0     7     1     3
  1.6047212279398440E-01 a       124     0     7     1     4
 -1.1381065610561952E-01 a       125     0     7     1     5
 -6.0861354976830144E-02 a       126     0     7     1     6
  1.1286889666214436E-02 a       127     0     7     1     7
 -1.4534482755595757E-01 a       128     0     7     1     8
  2.8742729762885466E-01 a       129     0     7     1     9
  2.5386328641509293E-01 a       130     0     7     1    10
  1.2516722622674165E-01 a       131     0     7     1    11
 -1.1758086184127911E-01 a       132     0     7     1    12
  7.4948719567022509E-02 a       133     0     7     1    13
  1.7958092166640308E-01 a       134     0     7     1    14
  9.2659288442070806E-03 a       135     0     7     1    15
 -9.9811618304655958E-02 a       136     0     7     1    16
 -1.1755088435135973E-01 a       137     0     7     1    17
  9.7876124118900051E-02 a       138     0     7     1    18
  1.1186942097583408E-01 a       139     0     7     1    19
 -1.5728311718800617E-01 a       140     0     7     1    20
  6.0905289817227759E-01 a       141     0     8     1     1
  3.9969503262586564E-01 a       142     0     8     1     2
 -4.3098021333555378E-02 a       143     0     8     1     3
 -8.5205342640335513E-01 a       144     0     8     1     4
  1.1216429487641263E-01 a       145     0     8     1     5
  7.6689469473244465E-01 a       146     0     8     1     6
 -2.9000171147916726E-01 a       147     0     8     1     7
  2.6079628282119016E-01 a       148     0     8     1     8
  4.3181900271719903E-01 a       149     0     8     1     9
 -1.0154056918199596E-01 a       150     0     8     1    10
  4.6762007903763797E-01 a       151     0     8     1    11
 -1.3071522796625674E+00 a       152     0     8     1    12
 -4.7207944012836361E-01 a       153     0     8     1    13
 -3.2739976602634940E-01 a       154     0     8     1    14
 -1.0349209134151496E+00 a       155     0     8     1    15
  3.9969016660508500E-01 a       156     0     8     1    16
  6.4516006758533195E-02 a       157     0     8     1    17
 -3.8047337714316792E-01 a       158     0     8     1    18
  1.2073840814841700E-02 a       159     0     8     1    19
 -2.2626306379083097E-02 a       160     0     8     1    20
 -1.9456050816942796E-01 a       161     0     9     1     1
 -2.7163825175519529E-01 a       162     0     9     1     2
 -1.5152842623701734E-01 a       163     0     9     1     3
 -3.6350958406753553E-01 a       164     0     9     1     4
 -5.3715707456806303E-02 a       165     0     9     1     5
 -8.2498225805555589E-03 a       166     0     9     1     6
 -2.3505672982877318E-01 a       167     0     9     1     7
  2.0845420477664949E-02 a       168     0     9     1     8
 -2.8232824172077964E-01 a       169     0     9     1     9
  1.7422016659638390E-01 a       170     0     9     1    10
