################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3099072203826895E-01 a         1     0     1     1     1
 -6.2864437005095489E-02 a         2     0     1     1     2
 -1.7877330840687045E-01 a         3     0     1     1     3
  7.4700457851714239E-02 a         4     0     1     1     4
 -8.1398482124398638E-02 a         5     0     1     1     5
  8.5848813237919108E-04 a         6     0     1     1     6
 -8.8174150469498905E-02 a         7     0     1     1     7
 -3.8135054506021920E-02 a         8     0     1     1     8
  1.0270962406267264E-01 a         9     0     1     1     9
  2.7525333941170137E-02 a        10     0     1     1    10
  6.5581029574747762E-02 a        11     0     1     1    11
  7.2846542781912771E-02 a        12     0     1     1    12
 -1.2588056280627655E-01 a        13     0     1     1    13
  5.9348168619484790E-02 a        14     0     1     1    14
  1.6907182192424500E-01 a        15     0     1     1    15
  7.0150784205572900E-02 a        16     0     1     1    16
  1.4551548103426240E-01 a        17     0     1     1    17
 -4.2060554761022287E-02 a        18     0     1     1    18
 -8.2445356515526244E-02 a        19     0     1     1    19
  4.4576463775073148E-02 a        20     0     1     1    20
  9.3088097448195933E-02 a        21     0     2     1     1
  4.0803674223452047E-01 a        22     0     2     1     2
  5.0443224643078814E-02 a        23     0     2     1     3
  4.7762015323849050E-02 a        24     0     2     1     4
 -4.1346942147027145E-02 a        25     0     2     1     5
 -2.2493998392483605E-01 a        26     0     2     1     6
  5.8399114025076762E-02 a        27     0     2     1     7
  9.1646457926670727E-02 a        28     0     2     1     8
  8.4860174184585024E-02 a        29     0     2     1     9
  1.7885691083722389E-02 a        30     0     2     1    10
  2.5529249056768982E-01 a        31     0     2     1    11
 -9.1408620231936237E-03 a        32     0     2     1    12
  1.4271308031727059E-01 a        33     0     2     1    13
  1.1001178982250898E-01 a        34     0     2     1    14
 -2.1091922874350219E-01 a        35     0     2     1    15
 -1.3709746797687777E-01 a        36     0     2     1    16
  3.8484333789866779E-02 a        37     0     2     1    17
  9.8628822355708287E-02 a        38     0     2     1    18
 -2.3978913297919571E-01 a        39     0     2     1    19
 -1.7490703279891154E-01 a        40     0     2     1    20
 -4.5118631909292677E-03 a        41     0     3     1     1
  3.9857130168803268E-02 a        42     0     3     1     2
  1.0559862914745848E-02 a        43     0     3     1     3
 -1.6096245071762025E-02 a        44     0     3     1     4
  1.1069621935713814E-01 a        45     0     3     1     5
  1.3191873618970187E-01 a        46     0     3     1     6
 -1.0804907204595811E-01 a        47     0     3     1     7
 -2.5214387881455011E-02 a        48     0     3     1     8
  1.9761182296029520E-01 a        49     0     3     1     9
 -1.5169911373978240E-01 a        50     0     3     1    10
  1.0256355097092612E-02 a        51     0     3     1    11
 -1.2631258238037370E-02 a        52     0     3     1    12
 -3.4426396354487201E-02 a        53     0     3     1    13
  1.4316462417904410E-01 a        54     0     3     1    14
  2.9552104106022933E-02 a        55     0     3     1    15
 -6.4205117880456408E-02 a        56     0     3     1    16
  2.0363290692634059E-01 a        57     0     3     1    17
  1.3347123427423249E-01 a        58     0     3     1    18
 -8.2716894413953301E-02 a        59     0     3     1    19
 -2.2884526459479090E-01 a        60     0     3     1    20
 -2.0280336856644493E-01 a        61     0     4     1     1
 -7.7350289825368707E-02 a        62     0     4     1     2
 -4.3991555453236603E-02 a        63     0     4     1     3
 -8.6269173207303526E-02 a        64     0     4     1     4
 -1.1872179845782475E-01 a        65     0     4     1     5
 -1.6253437711013557E-01 a        66     0     4     1     6
  9.8962433967056895E-02 a        67     0     4     1     7
 -3.8584445189647459E-02 a        68     0     4     1     8
  2.8445181550683582E-03 a        69     0     4     1     9
 -1.0423774472829837E-01 a        70     0     4     1    10
 -5.6363143969813305E-03 a        71     0     4     1    11
  1.5269396575650729E-01 a        72     0     4     1    12
 -1.9909184106008587E-01 a        73     0     4     1    13
  1.1289522433031619E-01 a        74     0     4     1    14
  1.9088650719977540E-01 a        75     0     4     1    15
  1.0778642062212563E-02 a        76     0     4     1    16
  2.1937550109703852E-01 a        77     0     4     1    17
  7.0123900531172479E-03 a        78     0     4     1    18
  3.9859095125262187E-02 a        79     0     4     1    19
  2.0005511175989327E-01 a        80     0     4     1    20
 -5.9609057528227587E-02 a        81     0     5     1     1
  1.1675172005179815E-01 a        82     0     5     1     2
  2.0734254196891280E-01 a        83     0     5     1     3
 -2.7016076278211942E-01 a        84     0     5     1     4
  1.8737954202391219E-01 a        85     0     5     1     5
 -1.0701346351007830E-01 a        86     0     5     1     6
  1.9998526555540341E-01 a        87     0     5     1     7
  6.1004095340350104E-02 a        88     0     5     1     8
 -4.5918462515047000E-03 a        89     0     5     1     9
  8.0929996892023778E-02 a        90     0     5     1    10
  3.9784987429265943E-02 a        91     0     5     1    11
  2.0874935608907244E-01 a        92     0     5     1    12
  1.8855382605301763E-01 a        93     0     5     1    13
  7.2999837920937810E-02 a        94     0     5     1    14
 -1.5874609340505019E-01 a        95     0     5     1    15
  1.4086301843767879E-01 a        96     0     5     1    16
 -2.6295987581491407E-02 a        97     0     5     1    17
  8.1731979127997942E-02 a        98     0     5     1    18
 -4.4662419875492833E-04 a        99     0     5     1    19
  9.9147299965440042E-02 a       100     0     5     1    20
  1.5080538861883161E-01 a       101     0     6     1     1
 -2.1312476449039808E-01 a       102     0     6     1     2
 -1.3001246502113098E-01 a       103     0     6     1     3
 -2.3889111109323133E-01 a       104     0     6     1     4
 -1.2766602182239520E-01 a       105     0     6     1     5
 -1.9721552098111314E-01 a       106     0     6     1     6
 -8.0153050452632393E-02 a       107     0     6     1     7
 -1.2857090940748983E-01 a       108     0     6     1     8
 -1.0862867218143414E-01 a       109     0     6     1     9
 -3.5080843071672904E-02 a       110     0     6     1    10
 -3.8573739286038422E-01 a       111     0     6     1    11
 -2.3293415799166065E-01 a       112     0     6     1    12
 -1.2420189665292354E-01 a       113     0     6     1    13
  6.5108677066147744E-02 a       114     0     6     1    14
  1.5074884288464879E-01 a       115     0     6     1    15
  2.8465792467358159E-01 a       116     0     6     1    16
  2.3997288397924688E-01 a       117     0     6     1    17
 -1.4911886755826867E-01 a       118     0     6     1    18
  2.1910541703841760E-01 a       119     0     6     1    19
  4.1005495021610293E-02 a       120     0     6     1    20
  2.2607931801249675E-01 a       121     0     7     1     1
 -5.2416377962567151E-02 a       122     0     7     1     2
  1.8285670913687466E-02 a       123     0     7     1     3
  8.7337996010592903E-02 a       124     0     7     1     4
  1.4098866045805281E-01 a       125     0     7     1     5
 -1.7447422323799811E-01 a       126     0     7     1     6
  1.8157374082020669E-01 a       127     0     7     1     7
 -1.4718750207549547E-01 a       128     0     7     1     8
 -2.3394325717649220E-01 a       129     0     7     1     9
  1.7322328056249750E-01 a       130     0     7     1    10
  3.3962875422636943E-02 a       131     0     7     1    11
 -4.0192772574237277E-02 a       132     0     7     1    12
 -1.4110431988200536E-01 a       133     0     7     1    13
  1.6845416426588045E-01 a       134     0     7     1    14
  4.1543083800329346E-03 a       135     0     7     1    15
  7.9042677009146328E-02 a       136     0     7     1    16
 -1.2341074746407020E-04 a       137     0     7     1    17
 -5.0193202165429635E-02 a       138     0     7     1    18
  1.9330467400329221E-01 a       139     0     7     1    19
  2.0478540325544425E-01 a       140     0     7     1    20
  1.8067403381184949E-01 a       141     0     8     1     1
  1.1195883797566387E-01 a       142     0     8     1     2
 -1.6060314622814596E-03 a       143     0     8     1     3
 -8.5164154967626832E-02 a       144     0     8     1     4
  1.9892325509065037E-01 a       145     0     8     1     5
  2.2103411252216254E-01 a       146     0     8     1     6
  5.6411867510256682E-02 a       147     0     8     1     7
 -3.2403546496846007E-02 a       148     0     8     1     8
  5.4000957033873906E-02 a       149     0     8     1     9
  1.0340831051898317E-01 a       150     0     8     1    10
  1.2357239420037583E-01 a       151     0     8     1    11
 -1.4009228227707790E-01 a       152     0     8     1    12
  7.5331203348338090E-03 a       153     0     8     1    13
  1.0559853509129588E-01 a       154     0     8     1    14
  1.7297135981665257E-01 a       155     0     8     1    15
  2.1193497215275531E-01 a       156     0     8     1    16
  5.7435836550023475E-04 a       157     0     8     1    17
  1.4469487770925904E-01 a       158     0     8     1    18
  1.3776260668444860E-03 a       159     0     8     1    19
 -2.0931960337234115E-01 a       160     0     8     1    20
 -1.4228010214990935E-01 a       161     0     9     1     1
 -1.0992979817853481E-01 a       162     0     9     1     2
 -2.3723521359591278E-02 a       163     0     9     1     3
 -1.3508957584876927E-02 a       164     0     9     1     4
 -1.4501640785834774E-01 a       165     0     9     1     5
  2.4802622036469907E-01 a       166     0     9     1     6
 -1.6588589833806741E-01 a       167     0     9     1     7
  2.2568713975976715E-01 a       168     0     9     1     8
  1.6187434459857225E-01 a       169     0     9     1     9
  8.6804600930300319E-02 a       170     0     9     1    10
  2.0825160097539672E-01 a       171     0     9     1    11
 -1.7761573210439593E-01 a       172     0     9     1    12
  3.4175064049628265E-02 a       173     0     9     1    13
  1.8468141412088818E-01 a       174     0     9     1    14
 -2.2834588659569410E-01 a       175     0     9     1    15
  2.3551099383745286E-01 a       176     0     9     1    16
  1.2695963649141243E-01 a       177     0     9     1    17
 -1.1132808645145337E-01 a       178     0     9     1    18
 -2.5138374902204291E-01 a       179     0     9     1    19
 -2.2611903154049043E-01 a       180     0     9     1    20
  1.3042649331615103E-01 a       181     0    10     1     1
  4.4485122665150575E-02 a       182     0    10     1     2
