################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8278522326974389E-01 a         1     0     1     1     1
 -1.3656383418376755E-01 a         2     0     1     1     2
  3.6475060170159765E-02 a         3     0     1     1     3
 -2.4001073279428034E-01 a         4     0     1     1     4
  3.2943218174852545E-01 a         5     0     1     1     5
 -3.5415213374852861E-01 a         6     0     1     1     6
 -2.3484673599129285E-01 a         7     0     1     1     7
 -2.0814738015925785E-01 a         8     0     1     1     8
  1.9354831047426588E-01 a         9     0     1     1     9
 -4.0420904127150509E-01 a        10     0     1     1    10
  2.7565107391796267E-01 a        11     0     1     1    11
  3.9036345779262779E-02 a        12     0     1     1    12
  5.4190451150814134E-01 a        13     0     1     1    13
 -1.2900931078794636E-01 a        14     0     1     1    14
  1.2510048260360734E-01 a        15     0     1     1    15
 -1.9791124414251243E-01 a        16     0     1     1    16
 -2.7773648431846026E-01 a        17     0     1     1    17
  1.8259165025320362E-01 a        18     0     1     1    18
  4.0939330189051870E-01 a        19     0     1     1    19
 -1.4136855806744189E-01 a        20     0     1     1    20
 -4.3985817552194342E-02 a        21     0     2     1     1
 -3.6737881078951751E-01 a        22     0     2     1     2
  5.7185003364280985E-02 a        23     0     2     1     3
  3.1899688520548081E-01 a        24     0     2     1     4
  2.2219766145952880E-02 a        25     0     2     1     5
  1.1179076633480448E-01 a        26     0     2     1     6
  3.6634943781341467E-01 a        27     0     2     1     7
  3.0686883511749127E-02 a        28     0     2     1     8
 -7.9880302896307612E-02 a        29     0     2     1     9
  1.7993825322676346E-01 a        30     0     2     1    10
 -1.8573111228600311E-01 a        31     0     2     1    11
 -1.1214712648248723E-01 a        32     0     2     1    12
 -8.4381433009913451E-03 a        33     0     2     1    13
  1.6209751599367941E-01 a        34     0     2     1    14
  9.7952571543988259E-02 a        35     0     2     1    15
 -1.1551481816046870E-02 a        36     0     2     1    16
  3.5866528628720756E-01 a        37     0     2     1    17
  3.5665957790457575E-01 a        38     0     2     1    18
 -3.4360186478565019E-01 a        39     0     2     1    19
  1.2046902685973399E-01 a        40     0     2     1    20
 -9.0066584777508785E-02 a        41     0     3     1     1
 -2.8392233756946378E-01 a        42     0     3     1     2
  2.7946717780775454E-02 a        43     0     3     1     3
  3.3896696028976947E-01 a        44     0     3     1     4
  1.8298929906830710E-01 a        45     0     3     1     5
 -2.5741730619952788E-02 a        46     0     3     1     6
  2.5886749799843966E-02 a        47     0     3     1     7
 -3.4289852550414744E-02 a        48     0     3     1     8
 -8.1576661558133201E-02 a        49     0     3     1     9
  5.5667106544551526E-01 a        50     0     3     1    10
 -5.0978612337726520E-02 a        51     0     3     1    11
 -1.2671266366266612E-01 a        52     0     3     1    12
  7.7274347587828598E-02 a        53     0     3     1    13
 -1.3799145250341346E-01 a        54     0     3     1    14
 -4.3653357156700284E-01 a        55     0     3     1    15
  9.9164502567972920E-02 a        56     0     3     1    16
  3.4367204411919894E-01 a        57     0     3     1    17
 -1.8336326109688503E-01 a        58     0     3     1    18
 -5.0082090036629189E-02 a        59     0     3     1    19
 -1.6540609124786632E-01 a        60     0     3     1    20
 -9.8161356154502638E-02 a        61     0     4     1     1
  3.8791924212961892E-01 a        62     0     4     1     2
  8.4870835324166533E-02 a        63     0     4     1     3
 -1.9724616867814720E-01 a        64     0     4     1     4
  2.6947901582274669E-01 a        65     0     4     1     5
 -3.3326213013672867E-01 a        66     0     4     1     6
 -3.8054268578445510E-01 a        67     0     4     1     7
  2.0083163360945989E-02 a        68     0     4     1     8
 -3.9910756257091257E-01 a        69     0     4     1     9
 -2.4296315717690298E-01 a        70     0     4     1    10
 -6.3628634118481950E-02 a        71     0     4     1    11
  2.1297202432402240E-02 a        72     0     4     1    12
 -1.3703174199742404E-01 a        73     0     4     1    13
 -3.4889416459537920E-01 a        74     0     4     1    14
 -1.9927408310189654E-01 a        75     0     4     1    15
  4.5016327010218304E-01 a        76     0     4     1    16
  1.1302862159222599E-01 a        77     0     4     1    17
 -1.8002369962946727E-01 a        78     0     4     1    18
 -3.2659845248508007E-01 a        79     0     4     1    19
  1.2998667454940369E-01 a        80     0     4     1    20
 -2.9579385988795703E-01 a        81     0     5     1     1
 -1.7158379971934401E-01 a        82     0     5     1     2
  3.1921100717925432E-01 a        83     0     5     1     3
 -4.1623498008191850E-01 a        84     0     5     1     4
 -2.4628327768338265E-01 a        85     0     5     1     5
 -9.4460058591380722E-02 a        86     0     5     1     6
 -2.9320746051796398E-01 a        87     0     5     1     7
