################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2727869690182017E-02 a         1     0     1     1     1
  1.5492663382711583E-01 a         2     0     1     1     2
 -1.0623506814798714E-01 a         3     0     1     1     3
 -1.4313330822347794E+00 a         4     0     1     1     4
 -5.5349958432736136E-02 a         5     0     1     1     5
 -3.3658001627325501E-01 a         6     0     1     1     6
 -7.1126472853231620E-02 a         7     0     1     1     7
  7.8521222940351326E-02 a         8     0     1     1     8
  5.2254840047701701E-01 a         9     0     1     1     9
  3.5759127702328009E-01 a        10     0     1     1    10
  1.8091284119971313E-01 a        11     0     1     1    11
 -1.1891527769801313E-01 a        12     0     1     1    12
 -2.4459017193477431E-01 a        13     0     1     1    13
  5.5900460519923520E-02 a        14     0     1     1    14
 -1.8825440596200382E-01 a        15     0     1     1    15
 -2.1290604609415950E-01 a        16     0     1     1    16
 -1.1444927126577914E-01 a        17     0     1     1    17
  2.1023906293862027E-01 a        18     0     1     1    18
 -2.8401100075626251E-01 a        19     0     1     1    19
 -5.0390581055727313E-01 a        20     0     1     1    20
  1.0022750663019268E-01 a        21     0     2     1     1
 -8.7214807116497595E-02 a        22     0     2     1     2
  1.0600956307240764E-02 a        23     0     2     1     3
 -3.0743100150560643E-02 a        24     0     2     1     4
  8.8081552203526578E-02 a        25     0     2     1     5
 -3.0581608943922439E-01 a        26     0     2     1     6
 -4.8322710597074359E-01 a        27     0     2     1     7
 -1.8182614835635970E-02 a        28     0     2     1     8
  1.5166325201458788E-01 a        29     0     2     1     9
 -1.3289357036846883E-01 a        30     0     2     1    10
  1.8398175520353574E-01 a        31     0     2     1    11
  3.2814626961535687E-01 a        32     0     2     1    12
 -3.4888295368327027E-01 a        33     0     2     1    13
  1.2403072397585072E-01 a        34     0     2     1    14
 -3.1323314125135965E-01 a        35     0     2     1    15
 -3.2965588204330742E-01 a        36     0     2     1    16
  1.3946328244922673E-01 a        37     0     2     1    17
 -4.4627913598142027E-02 a        38     0     2     1    18
  3.8870912342132408E-01 a        39     0     2     1    19
 -3.8334112310605223E-01 a        40     0     2     1    20
 -2.6242094921166459E-01 a        41     0     3     1     1
  7.9361265814691176E-02 a        42     0     3     1     2
 -1.0548422125755710E-01 a        43     0     3     1     3
 -2.2370336386284931E-01 a        44     0     3     1     4
  2.5252085417304313E-02 a        45     0     3     1     5
  7.2846600364156536E-02 a        46     0     3     1     6
 -1.5416118989318973E-02 a        47     0     3     1     7
  2.4980817365395033E-01 a        48     0     3     1     8
  2.2058777069805716E-01 a        49     0     3     1     9
  1.1867064419775216E-02 a        50     0     3     1    10
 -1.2143055875021701E-01 a        51     0     3     1    11
  2.2459354166273046E-01 a        52     0     3     1    12
  2.8400817108087818E-02 a        53     0     3     1    13
 -3.1520474438019436E-01 a        54     0     3     1    14
 -1.3538335759507975E-01 a        55     0     3     1    15
  1.4313312519155694E-01 a        56     0     3     1    16
  1.0215192707691559E-01 a        57     0     3     1    17
  4.0778458054724923E-02 a        58     0     3     1    18
 -6.1726370616538989E-02 a        59     0     3     1    19
  1.3998662812405097E-01 a        60     0     3     1    20
  1.7848184923633736E-01 a        61     0     4     1     1
 -1.1703725763098645E-01 a        62     0     4     1     2
  3.1828261529686219E-01 a        63     0     4     1     3
  8.7917034359463520E-01 a        64     0     4     1     4
  1.2994058492770152E-01 a        65     0     4     1     5
  4.1225311624079980E-01 a        66     0     4     1     6
 -3.1836022753744128E-02 a        67     0     4     1     7
  6.1134456648564685E-02 a        68     0     4     1     8
 -1.2308332988896363E-01 a        69     0     4     1     9
 -2.2499775226007968E-01 a        70     0     4     1    10
  3.6945044682802286E-01 a        71     0     4     1    11
  1.7143369854274618E-02 a        72     0     4     1    12
  5.1283538450768951E-01 a        73     0     4     1    13
 -3.6840708686169610E-01 a        74     0     4     1    14
 -5.2997387071222768E-01 a        75     0     4     1    15
  2.3141852473089661E-01 a        76     0     4     1    16
 -5.3254006426814708E-02 a        77     0     4     1    17
 -7.7829819395395794E-02 a        78     0     4     1    18
  3.1100046514360524E-01 a        79     0     4     1    19
  3.4941241419224978E-01 a        80     0     4     1    20
 -2.2767997358476083E-01 a        81     0     5     1     1
  6.1202406218581376E-02 a        82     0     5     1     2
 -2.6047467190876028E-01 a        83     0     5     1     3
  1.6571996042279391E-01 a        84     0     5     1     4
  2.7779095430208584E-01 a        85     0     5     1     5
 -2.9832055586389311E-01 a        86     0     5     1     6
  1.5928496232049186E-01 a        87     0     5     1     7
  8.3252125808956856E-02 a        88     0     5     1     8
  1.7135553755875856E-02 a        89     0     5     1     9
 -1.0599298411555247E-02 a        90     0     5     1    10
  1.6149215914855183E-01 a        91     0     5     1    11
  5.5072951983839387E-02 a        92     0     5     1    12
  2.0973538270509787E-01 a        93     0     5     1    13
  2.4868310188629755E-01 a        94     0     5     1    14
  1.5279172067815891E-01 a        95     0     5     1    15
 -2.1640059309342444E-01 a        96     0     5     1    16
 -5.7886100834171916E-01 a        97     0     5     1    17
  2.5974524539614230E-01 a        98     0     5     1    18
 -6.6142755515334284E-01 a        99     0     5     1    19
  3.4108507980176256E-01 a       100     0     5     1    20
  2.0622890082627771E-01 a       101     0     6     1     1
  1.3897809134424619E-01 a       102     0     6     1     2
  3.1014654679858995E-02 a       103     0     6     1     3
 -9.5597082516177281E-02 a       104     0     6     1     4
  4.1335408514058383E-02 a       105     0     6     1     5
  9.7155971479462602E-02 a       106     0     6     1     6
 -1.2875329079810016E-01 a       107     0     6     1     7
  2.4978112411466380E-01 a       108     0     6     1     8
  9.4740714852905875E-02 a       109     0     6     1     9
 -1.8972446046475330E-01 a       110     0     6     1    10
 -1.5730922409871417E-01 a       111     0     6     1    11
  7.9418409961159578E-02 a       112     0     6     1    12
  1.3288599563693743E-01 a       113     0     6     1    13
  3.2361133772969142E-01 a       114     0     6     1    14
  2.7307148639306777E-01 a       115     0     6     1    15
  9.2990383287125916E-02 a       116     0     6     1    16
  1.7458915122092084E-01 a       117     0     6     1    17
  2.4064834887143341E-01 a       118     0     6     1    18
  6.1217602057651453E-04 a       119     0     6     1    19
  1.0622797678854581E-01 a       120     0     6     1    20
 -8.9763282707964978E-02 a       121     0     7     1     1
 -8.6781284078480847E-02 a       122     0     7     1     2
 -6.7103266615961288E-01 a       123     0     7     1     3
  1.1074429485195388E-01 a       124     0     7     1     4
 -2.0833241563615787E-01 a       125     0     7     1     5
  4.5027148157259012E-01 a       126     0     7     1     6
 -1.1923243991646768E-01 a       127     0     7     1     7
 -3.8925398701544872E-01 a       128     0     7     1     8
